merchant_id,canonical_name,aliases,category,subcategory
1,ZOMATO,"zomato,zmt,zomt,zomato pay,zomatopay,zomato*,zmt*",food_dining,Food Delivery
2,SWIGGY,"swiggy,swgy,swigy,swiggy*,swgy*",food_dining,Food Delivery
3,UBER_EATS,"uber eats,ubereats,uber*eats",food_dining,Food Delivery
4,DOMINOS,"dominos,domino,dominos pizza,domino's",food_dining,Fast Food
5,MCDONALDS,"mcdonalds,mcd,mcdonald,mc donald,mc donalds",food_dining,Fast Food
6,KFC,"kfc,kentucky,kentucky fried chicken",food_dining,Fast Food
7,STARBUCKS,"starbucks,starbuck,sbux",food_dining,Cafes & Coffee
8,BIGBASKET,"bigbasket,big basket,bb,bigbasket*",groceries,Online Grocery
9,BLINKIT,"blinkit,grofers,blink it,blinkit*",groceries,Online Grocery
10,ZEPTO,"zepto,zpto,zepto*",groceries,Online Grocery
11,DUNZO,"dunzo,dnzo,dunzo*",groceries,Online Grocery
12,DMART,"dmart,d mart,d-mart,avenue supermarts",groceries,Supermarkets
13,RELIANCE_FRESH,"reliance fresh,reliancemart,reliancefresh",groceries,Supermarkets
14,MORE,"more,more supermarket,more megastore",groceries,Supermarkets
15,JIOMART,"jiomart,jio mart,jio*mart",groceries,Online Grocery
16,UBER,"uber,uber*,uber india",transport,Cab Services
17,OLA,"ola,ola cabs,ola*,ola cab",transport,Cab Services
18,RAPIDO,"rapido,rpdo,rapido*",transport,Cab Services
19,METRO,"metro,metro rail,metro card,metro recharge",transport,Public Transport
20,MAKEMYTRIP,"makemytrip,mmt,make my trip,makemytrip*",travel,Travel Packages
21,GOIBIBO,"goibibo,goibibo*,go ibibo",travel,Travel Packages
22,IRCTC,"irctc,indian railway,railway,irctc*",travel,Trains
23,REDBUS,"redbus,red bus,redbus*",travel,Bus Travel
24,OYO,"oyo,oyo rooms,oyorooms,oyo*",travel,Hotels
25,AIRBNB,"airbnb,air bnb,airbnb*",travel,Hotels
26,BOOKING_COM,"booking.com,booking,booking com,bookingcom",travel,Hotels
27,HPCL,"hpcl,hp,hindustan petroleum,hp petrol",fuel,Petrol
28,IOCL,"iocl,indian oil,indianoil,indian oil corporation",fuel,Petrol
29,BPCL,"bpcl,bharat petroleum,bharatpetroleum,bp",fuel,Petrol
30,SHELL,"shell,shell petrol,shell india",fuel,Petrol
31,RELIANCE_PETROL,"reliance petrol,reliance petroleum",fuel,Petrol
32,BESCOM,"bescom,bangalore electricity,bescom*",utilities,Electricity
33,MSEB,"mseb,maharashtra electricity,mseb*",utilities,Electricity
34,ADANI_GAS,"adani gas,adani,adanigas",utilities,Gas/LPG
35,INDANE,"indane,indane gas,indane lpg",utilities,Gas/LPG
36,AIRTEL,"airtel,airtel*,bharti airtel",utilities,Mobile/Phone
37,JIO,"jio,reliance jio,jio*,reliancejio",utilities,Mobile/Phone
38,VODAFONE,"vodafone,vodafone idea,vi,vodafone*",utilities,Mobile/Phone
39,BSNL,"bsnl,bharat sanchar,bharat sanchar nigam",utilities,Mobile/Phone
40,TATA_SKY,"tata sky,tatasky,tata play,tataplay",utilities,DTH/Cable
41,DISH_TV,"dish tv,dishtv,dish*",utilities,DTH/Cable
